Name,Category,homepage,지역1,전화번호,팩스1,이메일,핸드폰1,우편번호,주소2
서전동성당,종교시설,,,,,,,,
가경교회,종교시설,,,,061-260-0679,,,,전라남도 무안군 삼향읍 어진누리길 10 (남악리 1457번지)
간석4동 성당,종교시설,,,,,,,,
갈릴리교회,종교시설,,,,,mediayouthkr@naver.com,,,인천광역시 중구 서해대로 417번길 14
강경제일감리교회,종교시설,,,,,,,,서울특별시 도봉구 우이천로 394( 쌍문동 )
강동교회,종교시설,,,,,firstnewskorea@naver.com,,,부산광역시 해운대구 좌동순환로506 12층
강화베다니교회,종교시설,,,,,,,,
강화성광교회,종교시설,,,,,,,,
고덕동 성당 어린이복사단,종교시설,,,,,,,,
고덕동성당,종교시설,,,,,,,,
고촌중앙교회,종교시설,,,,,,,,
공주꿈의교회,종교시설,,,,,,,,
광명성당,종교시설,,,,,,,,
광명순복음교회,종교시설,,,,,,,,
광주마태오성당,종교시설,,,,,,,,
구례제일교회,종교시설,,,,,,,,
구미교회,종교시설,,,,,,,,
구파발성당,종교시설,,,,,,,,
군자성당,종교시설,,,,,,,,
군포대명교회,종교시설,,,,,,,,
굿모닝교회,종교시설,,,,,,,,
금호교회,종교시설,,,,,,,,
기쁨소식교회,종교시설,,,,,,,,
기쁨의교회,종교시설,,,,,,,,
기자촌교회,종교시설,,,,,,,,
낙원교회,종교시설,,,,,,,,
남서울교회,종교시설,,,,,,,,
남천안교회,종교시설,,,,,,,,
남현교회,종교시설,,,,,,,,
내리교회,종교시설,,,,,,,,
노은동성당,종교시설,,,,,,,,
논산제일교회,종교시설,,,,,,,,
높은뜻덕소교회,종교시설,,,,,,,,
대부감리교회,종교시설,,,,,,,,
대서울교회,종교시설,,,,,,,,
대전대흥침례교회,종교시설,,,,,,,,
대치4동성당,종교시설,,,,,,,,
대포교회,종교시설,,,,,,,,
대한교회,종교시설,,,,,,,,
도동교회,종교시설,,,,,,,,
돌다리교회,종교시설,,,,,,,,
동교동교회,종교시설,,,,,,,,
동성교회,종교시설,,,,,,,,
동수원성당,종교시설,,,,,,,,
동탄장지동성당,종교시설,,,,,,,,
둔산동성당,종교시설,,,,,,,,
따뜻한교회,종교시설,,,,,,,,
로뎀교회,종교시설,,,,,,,,
마두동성당,종교시설,,,,,,,,
만성동성당,종교시설,,,,,,,,
망우동성당,종교시설,,,,,,,,
명성교회,종교시설,,,,,,,,
무실동성당,종교시설,,,,,,,,
문산성당,종교시설,,,,,,,,
미아동성당,종교시설,,,,,,,,
밀양교회,종교시설,,,,,,,,
반도중앙교회,종교시설,,,,,,,,
범박동성당,종교시설,,,,,,,,
벧엘감리교회,종교시설,,,,,,,,
벧엘교회,종교시설,,,,,,,,
본교회,종교시설,,,,,,,,
본리성당,종교시설,,,,,,,,
봉곡교회,종교시설,,,,,,,,
분당성루카성당,종교시설,,,,,,,,
비전교회,종교시설,,,,,,,,
산곡3동성당,종교시설,,,,,,,,
상도제일교회,종교시설,,,,,,,,
상신교회,종교시설,,,,,,,,
샘물교회,종교시설,,,,,,,,
서귀포중앙교회,종교시설,,,,,,,,
서남교회,종교시설,,,,,,,,
서산동문동성당,종교시설,,,,,,,,
서울빛샘교회,종교시설,,,,,,,,
서울중앙교회,종교시설,,,,,,,,
서창2등성당,종교시설,,,,,,,,
서천동성당,종교시설,,,,,,,,
서천중앙교회,종교시설,,,,,,,,
서청주성당,종교시설,,,,,,,,
서현교회,종교시설,,,,,,,,
선교교회,종교시설,,,,,,,,
선행교회,종교시설,,,,,,,,
성도교회,종교시설,,,,,,,,
성만교회,종교시설,,,,,,,,
성석교회,종교시설,,,,,,,,
성환장로교회,종교시설,,,,,,,,
세곡동성당,종교시설,,,,,,,,
세광교회,종교시설,,,,,,,,
세움교회,종교시설,,,,,,,,
세종 성요한성당,종교시설,,,,,,,,
소하동성당,종교시설,,,,,,,,
수원율전성당,종교시설,,,,,,,,
수지성당,종교시설,,,,,,,,
순천승산교회,종교시설,,,,,,,,
순천중앙교회,종교시설,,,,,,,,
예수로교회,종교시설,,,,,,,,
대호태권도,체육시설,,,,,,,,
무안군청소년수련관,체육시설,,,,,,,,
아이사랑체육관,체육시설,,,,,,,,
영암군청소년수련관,체육시설,,,,,,,,
용인대서재태권도,체육시설,,,,,,,,
한국잡월드(제주청소년수련관),체육시설,,,,,,,,
한나무태권도,체육시설,,,,,,,,
아산드림태권도,체육시설,,,,,,,,
홍전군청소년수련관,체육시설,,,,,,,,
경기체육관,체육시설,,,,,,,,
경희대성원태권도,체육시설,,,,,,,,
고산국가대표태권도,체육시설,,,,,,,,
고촌국가대표태권도,체육시설,,,,,,,,
광수한체대태권도,체육시설,,,,,,,,
국가대표가온체육관,체육시설,,,,,,,,
국가대표한결태권도,체육시설,,,,,,,,
군포시청소년수련관,체육시설,,,,,,,,
나래태권도,체육시설,,,,,,,,
남서울명성태권도,체육시설,,,,,,,,
단국대백호태권도장,체육시설,,,,,,,,
대만야구팀,체육시설,,,,,,,,
대전현대태권도,체육시설,,,,,,,,
비젼태권도,체육시설,,,,,,,,
삼척시청소년수련관,체육시설,,,,,,,,
서천군청소년수련관,체육시설,,,,,,,,
석사경희대태권도,체육시설,,,,,,,,
성화체육관,체육시설,,,,,,,,
수정청소년수련관,체육시설,,,,,,,,
슈퍼키즈태권도,체육시설,,,,,,,,
신중태권도,체육시설,,,,,,,,
안양동안청소년수련관,체육시설,,,,,,,,
안양시민안정청소년수련관,체육시설,,,,,,,,
연세탑영어체육관,체육시설,,,,,,,,
예산군청소년수련관,체육시설,,,,,,,,
예산군청소년수련관 방과후아카데미,체육시설,,,,,,,,
용인대아이언태권도,체육시설,,,,,,,,
용인대태성태권도,체육시설,,,,,,,,
위너스태권도,체육시설,,,,,,,,
장성군청소년수련관,체육시설,,,,,,,,
정프스타태권도,체육시설,,,,,,,,
정체육관,체육시설,,,,,,,,
중국 탁구단,체육시설,,,,,,,,
청룡태권도,체육시설,,,,,,,,
청운태권도,체육시설,,,,,,,,
태무용호체육관,체육시설,,,,,,,,
태사자태권도,체육시설,,,,,,,,
태풍태권도,체육시설,,,,,,,,
파주시청소년수련관,체육시설,,,,,,,,
파주제이멀티짐,체육시설,,,,,,,,
필승태권도,체육시설,,,,,,,,
한국태권도,체육시설,,,,,,,,
한양대탑수정태권도,체육시설,,,,,,,,
행복한태권도,체육시설,,,,,,,,
현대체육관,체육시설,,,,,,,,
화랑태권도,체육시설,,,,,,,,
고양최강MBA태권도,체육시설,,,,,,,,
봉일천한울태권도,체육시설,,,,,,,,
소나무향기태권도,체육시설,,,,,,,,
슐레태권도,체육시설,,,,,,,,
아우름태권도,체육시설,,,,,,,,
아이엔체육관,체육시설,,,,,,,,
양수유도관,체육시설,,,,,,,,
양주시리틀야구단,체육시설,,,,,,,,
엘원짐킥복싱주짓수체육관,체육시설,,,,,,,,
연세태권도,체육시설,,,,,,,,
영웅태권도,체육시설,,,,,,,,
용인대경연태권도,체육시설,,,,,,,,
용인대경찰태권도,체육시설,,,,,,,,
용인대꿈나무태권도장,체육시설,,,,,,,,
용인대대선체육관,체육시설,,,,,,,,
용인대드림합기도,체육시설,,,,,,,,
용인대비룡태권도,체육시설,,,,,,,,
용인대석사청룡체육관,체육시설,,,,,,,,
용인대승리태권도,체육시설,,,,,,,,
용인대우리태권도,체육시설,,,,,,,,
월드태권도아카데미,체육시설,,,,,,,,
유일효태권도,체육시설,,,,,,,,
은혜체육관,체육시설,,,,,,,,
인성태권도,체육시설,,,,,,,,
정도체육관,체육시설,,,,,,,,
정무태권도,체육시설,,,,,,,,
죽전명문태권도,체육시설,,,,,,,,
참멋태권도각리관,체육시설,,,,,,,,
장멋태권도비봉관,체육시설,,,,,,,,
참멋태권도산성관,체육시설,,,,,,,,
청룡특공무술,체육시설,,,,,,,,
코리아태권도,체육시설,,,,,,,,
킴스태권도,체육시설,,,,,,,,
평택부용태권도,체육시설,,,,,,,,
포일경희대석사태권도,체육시설,,,,,,,,
풍진태권도,체육시설,,,,,,,,
한국태권도아카데미,체육시설,,,,,,,,
경희대석사참바른태권도,체육시설,,,,,,,,
상무체육관,체육시설,,,,,,,,
K타이거즈태권도,체육시설,,,,,,,,
MTM영웅태권도,체육시설,,,,,,,,
TL태권도,체육시설,,,,,,,,
YSK방학태권도,체육시설,,,,,,,,
가온용인대체육관,체육시설,,,,,,,,
가온태권도,체육시설,,,,,,,,
강남합기도,체육시설,,,,,,,,
강한태권도,체육시설,,,,,,,,
검단바르체체육관,체육시설,,,,,,,,
겸선합기도,체육시설,,,,,,,,
경희대스타태권도,체육시설,,,,,,,,
경희대엘리트태권도,체육시설,,,,,,,,
경회대정도태권도,체육시설,,,,,,,,
경희대현대태권도,체육시설,,,,,,,,
경희대호돌체육관,체육시설,,,,,,,,
광주한체대태권도,체육시설,,,,,,,,
국가대표경희대부부태권도,체육시설,,,,,,,,
국가태표탑태권도장,체육시설,,,,,,,,
높은뜻특전태권도장,체육시설,,,,,,,,
대전수합기도,체육시설,,,,,,,,
대한체육관,체육시설,,,,,,,,
더뉴태권도장,체육시설,,,,,,,,
라온태권도,체육시설,,,,,,,,
바르체육관,체육시설,,,,,,,,
바르체체육관,체육시설,,,,,,,,
베스트체육관,체육시설,,,,,,,,
블랙벨트태권도,체육시설,,,,,,,,
샛별신성태권도,체육시설,,,,,,,,
성훈체육관,체육시설,,,,,,,,
수호천사태권도,체육시설,,,,,,,,
화천푸르나지역아동센터,공공기관,,,,,,,,
횡성지역아동센터,공공기관,,,,,,,,
회망터지역아동센터,공공기관,,,,,,,,
대구지역아동센터연합,공공기관,,,,,,,,
더불어숲지역아동센터,공공기관,,,,,,,,
도담지역아동센터,공공기관,,,,,,,,
만복이네공부방지역아동센터,공공기관,,,,,,,,
송파열매지역아동센터,공공기관,,,,,,,,
시립서울청소년센터,공공기관,,,,,,,,
어린이나라지역아동센터,공공기관,,,,,,,,
완도군 가족센터,공공기관,,,,,,,,
우리함께다문화지역아동센터,공공기관,,,,,,,,
전남문화예술협회,공공기관,,,,,,,,
제주가정위탁지원센터,공공기관,,,,,,,,
진해회망의집,공공기관,,,,,,,,
청소년차오름센터,공공기관,,,,,,,,
한국생활체육양궁연맹,공공기관,,,,,,,,
시립강북청소년센터,공공기관,,,,,,,,
온사랑지역아동센터,공공기관,,,,,,,,
철원교육지원청 교육복지센터,공공기관,,,,,,,,
한물지역아동센터,공공기관,,,,,,,,
NCC지역아동센터,공공기관,,,,,,,,
금샘마을지역아동센터,공공기관,,,,,,,,
덕소지역아동센터,공공기관,,,,,,,,
덕암지역아동센터,공공기관,,,,,,,,
디딤돌지역아동센터,공공기관,,,,,,,,
보금자리지역아동센터,공공기관,,,,,,,,
사회복지법인 엔젤스헤이븐,공공기관,,,,,,,,
소나무지역아동센터,공공기관,,,,,,,,
양평군종합사회복지관,공공기관,,,,,,,,
위즈지역아동센터,공공기관,,,,,,,,
태안솔로몬지역아동센터,공공기관,,,,,,,,
구로3동우리동네키움센터,공공기관,,,,,,,,
구로구 항동우리동네키움센터,공공기관,,,,,,,,
꿈나무지역아동센터,공공기관,,,,,,,,
늘푸른지역아동센터,공공기관,,,,,,,,
부여군다함께돌봄센터1호,공공기관,,,,,,,,
부여미래나눔지역아동센터,공공기관,,,,,,,,
삼량진지역아동센터,공공기관,,,,,,,,
새순지역아동센터,공공기관,,,,,,,,
수원청소년문화센터,공공기관,,,,,,,,
시립강동청소년센터,공공기관,,,,,,,,
용암지역아동센터,공공기관,,,,,,,,
울산북구청소년문화의집,공공기관,,,,,,,,
자람지역아동센터,공공기관,,,,,,,,
춘천강북지역아동센터,공공기관,,,,,,,,
푸른학교지역아동센터,공공기관,,,,,,,,
가좌지역아동센터,공공기관,,,,,,,,
